DiseaseName	PMID	Sentence index	The # of total tokens	Location of token
parkinson Disease	22171907	3	41	10
parkinson Disease	22171907	6	20	17
parkinson Disease	22171055	2	16	6
parkinson Disease	22171055	2	16	6
parkinson Disease	22171055	2	16	6
parkinson Disease	22171055	3	14	1
parkinson Disease	22171055	3	14	1
parkinson Disease	22171055	3	14	1
parkinson Disease	22171055	5	15	13
parkinson Disease	22171055	5	15	13
parkinson Disease	22171055	5	15	13
parkinson Disease	22171055	6	35	1
parkinson Disease	22171055	6	35	1
parkinson Disease	22171055	6	35	1
parkinson Disease	22171055	8	26	17
parkinson Disease	22171055	8	26	17
parkinson Disease	22171055	8	26	17
parkinson Disease	22171055	9	22	8
parkinson Disease	22171055	9	22	8
parkinson Disease	22171055	9	22	8
parkinson Disease	22171055	10	13	12
parkinson Disease	22171055	10	13	12
parkinson Disease	22171055	10	13	12
parkinson Disease	22171055	12	29	8
parkinson Disease	22171055	12	29	8
parkinson Disease	22171055	12	29	8
parkinson Disease	22171009	3	23	13
parkinson Disease	22170881	3	76	41
parkinson Disease	22170881	3	76	41
parkinson Disease	22170881	3	76	41
parkinson Disease	22170277	2	11	7
parkinson Disease	22170277	2	11	7
parkinson Disease	22170277	2	11	7
parkinson Disease	22170276	2	15	13
parkinson Disease	22170276	2	15	13
parkinson Disease	22170276	2	15	13
parkinson Disease	22170276	7	19	9
parkinson Disease	22170276	7	19	9
parkinson Disease	22170276	7	19	9
parkinson Disease	22170275	2	6	5
parkinson Disease	22170275	2	6	5
parkinson Disease	22170275	2	6	5
parkinson Disease	22170275	3	21	9
parkinson Disease	22170275	3	21	9
parkinson Disease	22170275	3	21	9
parkinson Disease	22167981	2	7	4
parkinson Disease	22165370	2	9	5
parkinson Disease	22165370	3	25	21
parkinson Disease	22165370	3	25	21
parkinson Disease	22165370	3	25	21
parkinson Disease	22165049	3	26	10
parkinson Disease	22165049	3	26	10
parkinson Disease	22165049	3	26	10
parkinson Disease	22165049	12	28	27
parkinson Disease	22165049	12	28	27
parkinson Disease	22165049	12	28	27
parkinson Disease	22164191	2	7	6
parkinson Disease	22164191	2	7	6
parkinson Disease	22164191	2	7	6
parkinson Disease	22164191	3	32	14
parkinson Disease	22162696	2	6	5
parkinson Disease	22162696	2	6	5
parkinson Disease	22162696	2	6	5
parkinson Disease	22162696	3	12	11
parkinson Disease	22162696	3	12	11
parkinson Disease	22162696	3	12	11
parkinson Disease	22162696	4	21	17
parkinson Disease	22162696	4	21	17
parkinson Disease	22162696	4	21	17
parkinson Disease	22162696	6	18	6
parkinson Disease	22162696	7	20	14
parkinson Disease	22162696	8	22	16
parkinson Disease	22162533	2	10	9
parkinson Disease	22162533	2	10	9
parkinson Disease	22162533	2	10	9
parkinson Disease	22162533	3	29	28
parkinson Disease	22162533	3	29	28
parkinson Disease	22162533	3	29	28
parkinson Disease	22162144	2	13	10
parkinson Disease	22162144	2	13	10
parkinson Disease	22162144	2	13	10
parkinson Disease	22162144	3	29	20
parkinson Disease	22162144	3	29	20
parkinson Disease	22162144	3	29	20
parkinson Disease	22161420	2	5	4
parkinson Disease	22161420	2	5	4
parkinson Disease	22161420	2	5	4
parkinson Disease	22161420	3	27	15
parkinson Disease	22161420	3	27	15
parkinson Disease	22161420	3	27	15
parkinson Disease	22161420	4	20	19
parkinson Disease	22161420	4	20	19
parkinson Disease	22161420	4	20	19
parkinson Disease	22161420	5	29	28
parkinson Disease	22161420	5	29	28
parkinson Disease	22161420	5	29	28
parkinson Disease	22161420	8	22	21
parkinson Disease	22161420	8	22	21
parkinson Disease	22161420	8	22	21
parkinson Disease	22161420	17	17	16
parkinson Disease	22161420	17	17	16
parkinson Disease	22161420	17	17	16
parkinson Disease	22161166	2	10	9
parkinson Disease	22161166	3	19	18
parkinson Disease	22161166	3	19	18
parkinson Disease	22161166	3	19	18
parkinson Disease	22161166	4	12	4
parkinson Disease	22161166	6	32	31
parkinson Disease	22161166	6	32	31
parkinson Disease	22161166	6	32	31
parkinson Disease	22161166	9	13	9
parkinson Disease	22159100	2	8	7
parkinson Disease	22159100	2	8	7
parkinson Disease	22159100	2	8	7
parkinson Disease	22159100	4	32	6
parkinson Disease	22159100	4	32	6
parkinson Disease	22159100	4	32	6
parkinson Disease	22159068	2	12	1
parkinson Disease	22159068	2	12	1
parkinson Disease	22159068	2	12	1
parkinson Disease	22159053	2	9	8
parkinson Disease	22159053	2	9	8
parkinson Disease	22159053	2	9	8
parkinson Disease	22159053	3	27	12
parkinson Disease	22159053	3	27	12
parkinson Disease	22159053	3	27	12
parkinson Disease	22159053	6	12	2
parkinson Disease	22159053	6	12	2
parkinson Disease	22159053	6	12	2
parkinson Disease	22157432	2	16	15
parkinson Disease	22157432	2	16	15
parkinson Disease	22157432	2	16	15
parkinson Disease	22157432	3	35	22
parkinson Disease	22157432	3	35	22
parkinson Disease	22157432	3	35	22
parkinson Disease	22157187	2	17	16
parkinson Disease	22157187	2	17	16
parkinson Disease	22157187	2	17	16
parkinson Disease	22157006	4	32	23
parkinson Disease	22152433	2	12	11
parkinson Disease	22152433	2	12	11
parkinson Disease	22152433	2	12	11
parkinson Disease	22152433	3	42	35
parkinson Disease	22152433	4	30	6
parkinson Disease	22152433	4	30	6
parkinson Disease	22152433	4	30	6
parkinson Disease	22152432	2	10	6
parkinson Disease	22152432	2	10	6
parkinson Disease	22152432	2	10	6
parkinson Disease	22152432	3	26	18
parkinson Disease	22152432	3	26	18
parkinson Disease	22152432	3	26	18
parkinson Disease	22152432	4	37	18
parkinson Disease	22152432	4	37	18
parkinson Disease	22152432	4	37	18
parkinson Disease	22152432	5	15	6
parkinson Disease	22152432	5	15	6
parkinson Disease	22152432	5	15	6
parkinson Disease	22045323	3	17	4
parkinson Disease	22045323	9	39	38
parkinson Disease	22045323	9	39	38
parkinson Disease	22045323	9	39	38
parkinson Disease	22147682	3	10	9
parkinson Disease	22147682	3	10	9
parkinson Disease	22147682	3	10	9
parkinson Disease	22147682	4	10	9
parkinson Disease	22147682	4	10	9
parkinson Disease	22147682	4	10	9
parkinson Disease	22147682	5	20	12
parkinson Disease	22147682	6	29	16
parkinson Disease	22147682	6	29	16
parkinson Disease	22147682	6	29	16
parkinson Disease	22147682	7	29	14
parkinson Disease	22147682	7	29	14
parkinson Disease	22147682	7	29	14
parkinson Disease	22147682	8	11	10
parkinson Disease	22147682	8	11	10
parkinson Disease	22147682	8	11	10
parkinson Disease	22146929	2	11	6
parkinson Disease	22143761	3	27	23
parkinson Disease	22143365	2	17	1
parkinson Disease	22142042	8	24	22
parkinson Disease	22141289	2	5	4
parkinson Disease	22141289	2	5	4
parkinson Disease	22141289	2	5	4
parkinson Disease	22141289	3	17	1
parkinson Disease	22141289	3	17	1
parkinson Disease	22141289	3	17	1
parkinson Disease	22141289	6	24	16
parkinson Disease	22141289	6	24	16
parkinson Disease	22141289	6	24	16
parkinson Disease	22141289	7	11	10
parkinson Disease	22141289	7	11	10
parkinson Disease	22141289	7	11	10
parkinson Disease	22140196	2	10	9
parkinson Disease	22140196	2	10	9
parkinson Disease	22140196	2	10	9
parkinson Disease	22140196	4	10	3
parkinson Disease	22140196	4	10	3
parkinson Disease	22140196	4	10	3
parkinson Disease	22140196	11	15	3
parkinson Disease	22140196	11	15	3
parkinson Disease	22140196	11	15	3
parkinson Disease	22139623	2	12	7
parkinson Disease	22139623	3	17	9
parkinson Disease	22139623	3	17	9
parkinson Disease	22139623	3	17	9
parkinson Disease	22139623	5	31	13
parkinson Disease	22139623	5	31	13
parkinson Disease	22139623	5	31	13
parkinson Disease	22138181	2	6	4
parkinson Disease	22138181	3	17	1
parkinson Disease	22138181	3	17	1
parkinson Disease	22138181	3	17	1
parkinson Disease	22136163	2	13	9
parkinson Disease	22135272	4	12	11
parkinson Disease	22135272	4	12	11
parkinson Disease	22135272	4	12	11
parkinson Disease	22134940	2	11	10
parkinson Disease	22134940	2	11	10
parkinson Disease	22134940	2	11	10
parkinson Disease	22134940	3	16	5
parkinson Disease	22134940	3	16	5
parkinson Disease	22134940	3	16	5
parkinson Disease	22134940	6	12	8
parkinson Disease	22134940	6	12	8
parkinson Disease	22134940	6	12	8
parkinson Disease	22134915	5	26	22
parkinson Disease	22134915	5	26	22
parkinson Disease	22134915	5	26	22
parkinson Disease	22134915	11	30	26
parkinson Disease	22134915	11	30	26
parkinson Disease	22134915	11	30	26
parkinson Disease	22131425	2	17	16
parkinson Disease	22131425	2	17	16
parkinson Disease	22131425	2	17	16
parkinson Disease	22131425	3	21	1
parkinson Disease	22131425	3	21	1
parkinson Disease	22131425	3	21	1
parkinson Disease	22128150	3	10	9
parkinson Disease	22128150	3	10	9
parkinson Disease	22128150	3	10	9
parkinson Disease	22123787	2	9	3
parkinson Disease	22123787	2	9	3
parkinson Disease	22123787	2	9	3
parkinson Disease	22121752	3	21	1
parkinson Disease	22121752	3	21	1
parkinson Disease	22121752	3	21	1
parkinson Disease	22118943	2	13	11
parkinson Disease	22118943	2	13	11
parkinson Disease	22118943	2	13	11
parkinson Disease	22118943	3	40	18
parkinson Disease	22118943	3	40	18
parkinson Disease	22118943	3	40	18
parkinson Disease	22115849	2	11	2
parkinson Disease	22115849	2	11	2
parkinson Disease	22115849	2	11	2
parkinson Disease	22115849	3	21	1
parkinson Disease	22115849	3	21	1
parkinson Disease	22115849	3	21	1
parkinson Disease	22115849	7	29	12
parkinson Disease	22115849	9	26	11
parkinson Disease	22115849	9	26	11
parkinson Disease	22115849	9	26	11
parkinson Disease	22115849	10	27	23
parkinson Disease	22115849	10	27	23
parkinson Disease	22115849	10	27	23
parkinson Disease	22113202	3	19	18
parkinson Disease	22113202	3	19	18
parkinson Disease	22113202	3	19	18
parkinson Disease	22113202	11	44	36
parkinson Disease	22113202	11	44	36
parkinson Disease	22113202	11	44	36
parkinson Disease	22113180	3	28	12
parkinson Disease	22113180	5	24	2
parkinson Disease	22113180	8	11	3
parkinson Disease	22111351	2	15	14
parkinson Disease	22111351	3	11	3
parkinson Disease	22111351	3	11	3
parkinson Disease	22111351	3	11	3
parkinson Disease	22111351	4	35	24
parkinson Disease	22111351	4	35	24
parkinson Disease	22111351	4	35	24
parkinson Disease	22111351	5	25	9
parkinson Disease	22111351	5	25	9
parkinson Disease	22111351	5	25	9
parkinson Disease	22111351	6	27	26
parkinson Disease	22111351	6	27	26
parkinson Disease	22111351	6	27	26
parkinson Disease	22111351	7	35	13
parkinson Disease	22111351	7	35	13
parkinson Disease	22111351	7	35	13
parkinson Disease	22111351	8	13	12
parkinson Disease	22111351	8	13	12
parkinson Disease	22111351	8	13	12
parkinson Disease	22111351	9	23	18
parkinson Disease	22111351	9	23	18
parkinson Disease	22111351	9	23	18
parkinson Disease	22111351	10	27	26
parkinson Disease	22111351	10	27	26
parkinson Disease	22111351	10	27	26
parkinson Disease	22111351	11	18	17
parkinson Disease	22111351	11	18	17
parkinson Disease	22111351	11	18	17
parkinson Disease	22110694	11	19	8
parkinson Disease	22106466	2	5	4
parkinson Disease	22106466	2	5	4
parkinson Disease	22106466	2	5	4
parkinson Disease	22104010	2	15	10
parkinson Disease	22104010	2	15	10
parkinson Disease	22104010	2	15	10
parkinson Disease	22104010	3	17	14
parkinson Disease	22104010	3	17	14
parkinson Disease	22104010	3	17	14
parkinson Disease	22103807	8	32	30
parkinson Disease	22103807	8	32	30
parkinson Disease	22103807	8	32	30
parkinson Disease	22101994	2	8	7
parkinson Disease	22101994	2	8	7
parkinson Disease	22101994	2	8	7
parkinson Disease	22101994	3	32	30
parkinson Disease	22101994	3	32	30
parkinson Disease	22101994	3	32	30
parkinson Disease	22094648	2	14	13
parkinson Disease	22094648	2	14	13
parkinson Disease	22094648	2	14	13
parkinson Disease	22094648	4	25	13
parkinson Disease	22094648	4	25	14
parkinson Disease	22094648	4	25	14
parkinson Disease	22094648	4	25	14
parkinson Disease	22094370	2	9	4
parkinson Disease	22094370	3	14	12
parkinson Disease	22094370	3	14	12
parkinson Disease	22094370	3	14	12
parkinson Disease	22094370	18	36	1
parkinson Disease	22094370	18	36	1
parkinson Disease	22094370	18	36	1
parkinson Disease	22094225	3	17	16
parkinson Disease	22094225	3	17	16
parkinson Disease	22094225	3	17	16
parkinson Disease	22094131	2	6	3
parkinson Disease	22094131	2	6	3
parkinson Disease	22094131	2	6	3
parkinson Disease	22094131	3	26	11
parkinson Disease	22094131	3	26	11
parkinson Disease	22094131	3	26	11
parkinson Disease	22094131	6	40	28
parkinson Disease	22094131	6	40	28
parkinson Disease	22094131	6	40	28
parkinson Disease	22094131	7	19	18
parkinson Disease	22094131	7	19	18
parkinson Disease	22094131	7	19	18
parkinson Disease	22093536	2	10	9
parkinson Disease	22093536	2	10	9
parkinson Disease	22093536	2	10	9
parkinson Disease	22093536	3	16	1
parkinson Disease	22093536	3	16	1
parkinson Disease	22093536	3	16	1
parkinson Disease	22090514	2	15	14
parkinson Disease	22090514	2	15	14
parkinson Disease	22090514	2	15	14
parkinson Disease	22090514	3	30	1
parkinson Disease	22090514	3	30	1
parkinson Disease	22090514	3	30	1
parkinson Disease	22090352	2	9	4
parkinson Disease	22090352	3	24	23
parkinson Disease	22090352	3	24	23
parkinson Disease	22090352	3	24	23
parkinson Disease	22090352	5	38	12
parkinson Disease	22089194	3	24	20
parkinson Disease	22087832	11	48	6
parkinson Disease	22086882	2	11	4
parkinson Disease	22086882	2	11	4
parkinson Disease	22086882	2	11	4
parkinson Disease	22086882	3	21	12
parkinson Disease	22086882	3	21	12
parkinson Disease	22086882	3	21	12
parkinson Disease	22086882	5	34	20
parkinson Disease	22086882	5	34	20
parkinson Disease	22086882	5	34	20
parkinson Disease	22086882	6	32	2
parkinson Disease	22086882	6	32	2
parkinson Disease	22086882	6	32	2
parkinson Disease	22086882	7	16	9
parkinson Disease	22086882	7	16	9
parkinson Disease	22086882	7	16	9
parkinson Disease	22086882	8	27	9
parkinson Disease	22086882	8	27	9
parkinson Disease	22086882	8	27	9
parkinson Disease	22086882	10	19	2
parkinson Disease	22086882	10	19	2
parkinson Disease	22086882	10	19	2
parkinson Disease	22086882	11	21	2
parkinson Disease	22086882	11	21	2
parkinson Disease	22086882	11	21	2
parkinson Disease	22086726	10	21	20
parkinson Disease	22086726	10	21	20
parkinson Disease	22086726	10	21	20
parkinson Disease	22086428	2	6	5
parkinson Disease	22086428	3	28	16
parkinson Disease	22086428	3	28	16
parkinson Disease	22086428	3	28	16
parkinson Disease	22086220	3	52	23
parkinson Disease	22086220	3	52	23
parkinson Disease	22086220	3	52	23
parkinson Disease	22086220	7	26	20
parkinson Disease	22086220	7	26	20
parkinson Disease	22086220	7	26	20
parkinson Disease	22085607	3	15	11
parkinson Disease	22085607	3	15	11
parkinson Disease	22085607	3	15	11
parkinson Disease	22085607	10	27	17
parkinson Disease	22085607	10	27	17
parkinson Disease	22085607	10	27	17
parkinson Disease	22085464	3	24	1
parkinson Disease	22085464	3	24	1
parkinson Disease	22085464	3	24	1
parkinson Disease	22085464	4	23	14
parkinson Disease	22083847	2	8	4
parkinson Disease	22083847	2	8	4
parkinson Disease	22083847	2	8	4
parkinson Disease	22083847	3	26	10
parkinson Disease	22083847	3	26	10
parkinson Disease	22083847	3	26	10
parkinson Disease	22081675	2	20	7
parkinson Disease	22081612	3	20	7
parkinson Disease	22080837	2	8	2
parkinson Disease	22080837	2	8	2
parkinson Disease	22080837	2	8	2
parkinson Disease	22080837	3	33	17
parkinson Disease	22080837	3	33	17
parkinson Disease	22080837	3	33	17
parkinson Disease	22080197	2	21	16
parkinson Disease	22080197	2	21	16
parkinson Disease	22080197	2	21	16
parkinson Disease	22080197	3	43	15
parkinson Disease	22080197	4	16	15
parkinson Disease	22078885	4	24	6
parkinson Disease	22078885	4	24	6
parkinson Disease	22078885	4	24	6
parkinson Disease	22078875	6	46	38
parkinson Disease	22078875	6	46	38
parkinson Disease	22078875	6	46	38
parkinson Disease	22077446	5	29	11
parkinson Disease	22077446	5	29	11
parkinson Disease	22077446	5	29	11
parkinson Disease	22076542	2	13	12
parkinson Disease	22076542	2	13	12
parkinson Disease	22076542	2	13	12
parkinson Disease	22076542	3	27	15
parkinson Disease	22076542	3	27	15
parkinson Disease	22076542	3	27	15
parkinson Disease	22075521	2	12	11
parkinson Disease	22075521	2	12	11
parkinson Disease	22075521	2	12	11
parkinson Disease	22075521	3	8	1
parkinson Disease	22075521	3	8	1
parkinson Disease	22075521	3	8	1
parkinson Disease	22075521	5	38	12
parkinson Disease	22075521	5	38	12
parkinson Disease	22075521	5	38	12
parkinson Disease	22075521	7	26	4
parkinson Disease	22075521	7	26	4
parkinson Disease	22075521	7	26	4
parkinson Disease	22075521	9	27	26
parkinson Disease	22075521	9	27	26
parkinson Disease	22075521	9	27	26
parkinson Disease	22075521	12	11	9
parkinson Disease	22075521	12	11	9
parkinson Disease	22075521	12	11	9
parkinson Disease	22075520	3	24	10
parkinson Disease	22075520	4	29	17
parkinson Disease	22075520	5	27	13
parkinson Disease	22075520	5	27	13
parkinson Disease	22075520	5	27	13
parkinson Disease	22075520	6	26	13
parkinson Disease	22075520	6	26	13
parkinson Disease	22075520	6	26	13
parkinson Disease	22075520	10	29	17
parkinson Disease	22075520	11	26	12
parkinson Disease	22075520	11	26	12
parkinson Disease	22075520	11	26	12
parkinson Disease	22075520	14	27	24
parkinson Disease	22075520	14	27	24
parkinson Disease	22075520	14	27	24
parkinson Disease	22074315	3	18	16
parkinson Disease	22074315	3	18	16
parkinson Disease	22074315	3	18	16
parkinson Disease	22072682	2	11	10
parkinson Disease	22072682	2	11	10
parkinson Disease	22072682	2	11	10
parkinson Disease	22072682	4	20	7
parkinson Disease	22072682	4	20	7
parkinson Disease	22072682	4	20	7
parkinson Disease	22072682	7	29	26
parkinson Disease	22072682	7	29	26
parkinson Disease	22072682	7	29	26
parkinson Disease	22072662	6	31	30
parkinson Disease	22072662	6	31	30
parkinson Disease	22072662	6	31	30
parkinson Disease	22068482	3	13	11
parkinson Disease	22068482	3	13	11
parkinson Disease	22068482	3	13	11
parkinson Disease	22067963	2	9	1
parkinson Disease	22067963	3	23	4
parkinson Disease	22067963	3	23	4
parkinson Disease	22067963	3	23	4
parkinson Disease	22067166	2	16	15
parkinson Disease	22067166	2	16	15
parkinson Disease	22067166	2	16	15
parkinson Disease	22067166	3	14	13
parkinson Disease	22067166	3	14	13
parkinson Disease	22067166	3	14	13
parkinson Disease	22067166	4	11	10
parkinson Disease	22067166	4	11	10
parkinson Disease	22067166	4	11	10
parkinson Disease	22065755	3	10	8
parkinson Disease	22065755	3	10	8
parkinson Disease	22065755	3	10	8
parkinson Disease	22065209	2	8	7
parkinson Disease	22065209	2	8	7
parkinson Disease	22065209	2	8	7
parkinson Disease	22065209	3	27	16
parkinson Disease	22065209	3	27	16
parkinson Disease	22065209	3	27	16
parkinson Disease	22064613	2	14	13
parkinson Disease	22064613	2	14	13
parkinson Disease	22064613	2	14	13
parkinson Disease	22064613	3	36	22
parkinson Disease	22064613	3	36	22
parkinson Disease	22064613	3	36	22
parkinson Disease	22045328	3	25	7
parkinson Disease	22045328	3	25	7
parkinson Disease	22045328	3	25	7
parkinson Disease	22045327	3	17	1
parkinson Disease	22045327	3	17	1
parkinson Disease	22045327	3	17	1
parkinson Disease	22045327	8	38	37
parkinson Disease	22045327	8	38	37
parkinson Disease	22045327	8	38	37
parkinson Disease	22045326	2	10	9
parkinson Disease	22045326	2	10	9
parkinson Disease	22045326	2	10	9
parkinson Disease	22045326	3	26	25
parkinson Disease	22045326	3	26	25
parkinson Disease	22045326	3	26	25
parkinson Disease	22045325	2	15	3
parkinson Disease	22045325	3	29	5
parkinson Disease	22045325	3	29	5
parkinson Disease	22045325	3	29	5
parkinson Disease	22045324	2	5	4
parkinson Disease	22045324	2	5	4
parkinson Disease	22045324	2	5	4
parkinson Disease	22045324	3	12	11
parkinson Disease	22045324	3	12	11
parkinson Disease	22045324	3	12	11
parkinson Disease	22045324	4	63	18
parkinson Disease	22045324	4	63	18
parkinson Disease	22045324	4	63	18
parkinson Disease	22045322	2	11	3
parkinson Disease	22045322	3	18	16
parkinson Disease	22045322	3	18	16
parkinson Disease	22045322	3	18	16
parkinson Disease	22045321	7	38	18
parkinson Disease	22045321	7	38	18
parkinson Disease	22045321	7	38	18
parkinson Disease	22045320	2	6	5
parkinson Disease	22045320	2	6	5
parkinson Disease	22045320	2	6	5
parkinson Disease	22045320	3	14	1
parkinson Disease	22045320	3	14	1
parkinson Disease	22045320	3	14	1
parkinson Disease	22057400	2	11	10
parkinson Disease	22057400	2	11	10
parkinson Disease	22057400	2	11	10
parkinson Disease	22057087	3	22	10
parkinson Disease	22057087	5	25	21
parkinson Disease	22056989	2	15	14
parkinson Disease	22056989	2	15	14
parkinson Disease	22056989	2	15	14
parkinson Disease	22056989	6	24	12
parkinson Disease	22056989	12	15	9
parkinson Disease	22056989	12	15	9
parkinson Disease	22056989	12	15	9
parkinson Disease	22056989	15	26	25
parkinson Disease	22056989	15	26	25
parkinson Disease	22056989	15	26	25
parkinson Disease	22053701	2	13	12
parkinson Disease	22053701	2	13	12
parkinson Disease	22053701	2	13	12
parkinson Disease	22053701	4	25	14
parkinson Disease	22053701	4	25	14
parkinson Disease	22053701	4	25	14
parkinson Disease	22052348	3	20	16
parkinson Disease	22052348	3	20	16
parkinson Disease	22052348	3	20	16
parkinson Disease	22049202	2	9	1
parkinson Disease	22049200	2	7	3
parkinson Disease	22049200	3	24	12
parkinson Disease	22049200	3	24	12
parkinson Disease	22049200	3	24	12
parkinson Disease	22048791	3	40	19
parkinson Disease	22048791	3	40	20
parkinson Disease	22048791	3	40	20
parkinson Disease	22048791	3	40	20
parkinson Disease	22046592	2	6	5
parkinson Disease	22046592	2	6	5
parkinson Disease	22046592	2	6	5
parkinson Disease	22046592	3	36	2
parkinson Disease	22046592	3	36	2
parkinson Disease	22046592	3	36	2
parkinson Disease	22046592	4	33	11
parkinson Disease	22046592	4	33	11
parkinson Disease	22046592	4	33	11
parkinson Disease	22046592	5	65	52
parkinson Disease	22046592	5	65	52
parkinson Disease	22046592	5	65	52
parkinson Disease	22046592	6	19	12
parkinson Disease	22046592	6	19	12
parkinson Disease	22046592	6	19	12
parkinson Disease	22045282	3	29	16
parkinson Disease	22045282	3	29	16
parkinson Disease	22045282	3	29	16
parkinson Disease	22045168	2	10	9
parkinson Disease	22045168	2	10	9
parkinson Disease	22045168	2	10	9
parkinson Disease	22045168	3	13	9
parkinson Disease	22045168	3	13	9
parkinson Disease	22045168	3	13	9
parkinson Disease	22045168	7	14	9
parkinson Disease	22045168	7	14	9
parkinson Disease	22045168	7	14	9
parkinson Disease	22045168	11	18	7
parkinson Disease	22045168	11	18	7
parkinson Disease	22045168	11	18	7
parkinson Disease	22043288	2	8	7
parkinson Disease	22043288	2	8	7
parkinson Disease	22043288	2	8	7
parkinson Disease	22043288	3	17	15
parkinson Disease	22043288	3	17	15
parkinson Disease	22043288	3	17	15
parkinson Disease	22043175	3	13	11
parkinson Disease	22043175	3	13	11
parkinson Disease	22043175	3	13	11
parkinson Disease	22042176	3	29	19
parkinson Disease	22042176	3	29	19
parkinson Disease	22042176	3	29	19
parkinson Disease	22042172	2	7	3
parkinson Disease	22042172	3	27	9
parkinson Disease	22042172	3	27	9
parkinson Disease	22042172	3	27	9
parkinson Disease	22042171	2	15	4
parkinson Disease	22041733	2	6	1
parkinson Disease	22041733	3	14	5
parkinson Disease	22041733	3	14	5
parkinson Disease	22041733	3	14	5
parkinson Disease	22041733	6	20	18
parkinson Disease	22040900	2	8	7
parkinson Disease	22040900	2	8	7
parkinson Disease	22040900	2	8	7
parkinson Disease	22040900	3	35	18
parkinson Disease	22040900	3	35	18
parkinson Disease	22040900	3	35	18
parkinson Disease	22021174	2	16	15
parkinson Disease	22021174	2	16	15
parkinson Disease	22021174	2	16	15
parkinson Disease	22021174	3	45	16
parkinson Disease	22021174	3	45	16
parkinson Disease	22021174	3	45	16
parkinson Disease	22021173	2	16	15
parkinson Disease	22021173	2	16	15
parkinson Disease	22021173	2	16	15
parkinson Disease	22021173	3	22	16
parkinson Disease	22021173	3	22	16
parkinson Disease	22021173	3	22	16
parkinson Disease	22021173	4	30	18
parkinson Disease	22021173	4	30	18
parkinson Disease	22021173	4	30	18
parkinson Disease	22037902	3	33	25
parkinson Disease	22037599	3	35	28
parkinson Disease	22037599	3	35	28
parkinson Disease	22037599	3	35	28
parkinson Disease	22036119	2	10	5
parkinson Disease	22034770	2	5	4
parkinson Disease	22034770	3	10	1
parkinson Disease	22034770	3	10	1
parkinson Disease	22034770	3	10	1
parkinson Disease	22034770	4	29	1
parkinson Disease	22034770	4	29	1
parkinson Disease	22034770	4	29	1
parkinson Disease	22034770	10	66	11
parkinson Disease	22034770	10	66	11
parkinson Disease	22034770	10	66	11
parkinson Disease	22032468	2	5	1
parkinson Disease	22032468	2	5	1
parkinson Disease	22032468	2	5	1
parkinson Disease	22032468	3	15	1
parkinson Disease	22032468	3	15	1
parkinson Disease	22032468	3	15	1
parkinson Disease	22032468	4	27	19
parkinson Disease	22032468	4	27	19
parkinson Disease	22032468	4	27	19
parkinson Disease	22032181	6	30	13
parkinson Disease	22031685	2	9	4
parkinson Disease	22031685	3	9	1
parkinson Disease	22031685	3	9	1
parkinson Disease	22031685	3	9	1
parkinson Disease	22030944	2	15	14
parkinson Disease	22030944	2	15	14
parkinson Disease	22030944	2	15	14
parkinson Disease	22030944	3	25	23
parkinson Disease	22030944	3	25	23
parkinson Disease	22030944	3	25	23
parkinson Disease	22028228	2	7	6
parkinson Disease	22028228	2	7	6
parkinson Disease	22028228	2	7	6
parkinson Disease	22027928	2	11	10
parkinson Disease	22027928	2	11	10
parkinson Disease	22027928	2	11	10
parkinson Disease	22027928	3	13	11
parkinson Disease	22027928	3	13	11
parkinson Disease	22027928	3	13	11
parkinson Disease	22027794	2	17	8
parkinson Disease	22027794	3	24	11
parkinson Disease	22027794	3	24	11
parkinson Disease	22027794	3	24	11
parkinson Disease	22027794	4	17	10
parkinson Disease	22027794	4	17	10
parkinson Disease	22027794	4	17	10
parkinson Disease	22027794	10	36	4
parkinson Disease	22026326	2	13	12
parkinson Disease	22026326	2	13	12
parkinson Disease	22026326	2	13	12
parkinson Disease	22026326	3	30	14
parkinson Disease	22026326	3	30	14
parkinson Disease	22026326	3	30	14
parkinson Disease	22025277	3	22	5
parkinson Disease	22025277	3	22	5
parkinson Disease	22025277	3	22	5
parkinson Disease	22025277	5	10	1
parkinson Disease	22025277	5	10	1
parkinson Disease	22025277	5	10	1
parkinson Disease	22025277	8	32	28
parkinson Disease	22025277	8	32	28
parkinson Disease	22025277	8	32	28
parkinson Disease	22023479	3	28	19
parkinson Disease	22023479	3	28	19
parkinson Disease	22023479	3	28	19
parkinson Disease	22022363	4	53	24
parkinson Disease	22022275	13	10	8
parkinson Disease	22022189	3	18	17
parkinson Disease	22022189	3	18	17
parkinson Disease	22022189	3	18	17
parkinson Disease	22022189	7	32	2
parkinson Disease	22022189	7	32	2
parkinson Disease	22022189	7	32	2
parkinson Disease	22020457	2	22	21
parkinson Disease	22020457	2	22	21
parkinson Disease	22020457	2	22	21
parkinson Disease	22020457	4	17	4
parkinson Disease	22020457	4	17	4
parkinson Disease	22020457	4	17	4
parkinson Disease	22020207	2	8	1
parkinson Disease	22020207	2	8	1
parkinson Disease	22020207	2	8	1
parkinson Disease	22020207	3	13	1
parkinson Disease	22020207	3	13	1
parkinson Disease	22020207	3	13	1
parkinson Disease	22019972	2	14	13
parkinson Disease	22019972	2	14	13
parkinson Disease	22019972	2	14	13
parkinson Disease	22019972	3	23	22
parkinson Disease	22019972	3	23	22
parkinson Disease	22019972	3	23	22
parkinson Disease	22019972	5	10	5
parkinson Disease	22019972	5	10	5
