Name	DiseaseName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
parkinson disease	parkinson Disease	22065209	2	8	7	8
parkinson disease	parkinson Disease	22065209	2	8	7	10
parkinson	parkinson Disease	22065209	2	8	7	20
parkinson disease	parkinson Disease	22065209	3	27	16	8
parkinson disease	parkinson Disease	22065209	3	27	16	10
parkinson	parkinson Disease	22065209	3	27	16	20
parkinson disease	parkinson Disease	22064613	2	14	13	8
parkinson disease	parkinson Disease	22064613	2	14	13	10
parkinson	parkinson Disease	22064613	2	14	13	20
parkinson disease	parkinson Disease	22064613	3	36	22	8
parkinson disease	parkinson Disease	22064613	3	36	22	10
parkinson	parkinson Disease	22064613	3	36	22	20
parkinson disease	parkinson Disease	22045328	3	25	7	8
parkinson disease	parkinson Disease	22045328	3	25	7	10
parkinson	parkinson Disease	22045328	3	25	7	20
parkinson disease	parkinson Disease	22045327	3	17	1	8
parkinson disease	parkinson Disease	22045327	3	17	1	10
parkinson	parkinson Disease	22045327	3	17	1	20
parkinson disease	parkinson Disease	22045327	8	38	37	8
parkinson disease	parkinson Disease	22045327	8	38	37	10
parkinson	parkinson Disease	22045327	8	38	37	20
parkinson disease	parkinson Disease	22045326	2	10	9	8
parkinson disease	parkinson Disease	22045326	2	10	9	10
parkinson	parkinson Disease	22045326	2	10	9	20
parkinson disease	parkinson Disease	22045326	3	26	25	8
parkinson disease	parkinson Disease	22045326	3	26	25	10
parkinson	parkinson Disease	22045326	3	26	25	20
parkinson	parkinson Disease	22045325	2	15	3	20
parkinson disease	parkinson Disease	22045325	3	29	5	8
parkinson disease	parkinson Disease	22045325	3	29	5	10
parkinson	parkinson Disease	22045325	3	29	5	20
parkinson disease	parkinson Disease	22045324	2	5	4	8
parkinson disease	parkinson Disease	22045324	2	5	4	10
parkinson	parkinson Disease	22045324	2	5	4	20
parkinson disease	parkinson Disease	22045324	3	12	11	8
parkinson disease	parkinson Disease	22045324	3	12	11	10
parkinson	parkinson Disease	22045324	3	12	11	20
parkinson disease	parkinson Disease	22045324	4	63	18	8
parkinson disease	parkinson Disease	22045324	4	63	18	10
parkinson	parkinson Disease	22045324	4	63	18	20
parkinson	parkinson Disease	22045322	2	11	3	20
parkinson disease	parkinson Disease	22045322	3	18	16	8
parkinson disease	parkinson Disease	22045322	3	18	16	10
parkinson	parkinson Disease	22045322	3	18	16	20
parkinson disease	parkinson Disease	22045321	7	38	18	8
parkinson disease	parkinson Disease	22045321	7	38	18	10
parkinson	parkinson Disease	22045321	7	38	18	20
parkinson disease	parkinson Disease	22045320	2	6	5	8
parkinson disease	parkinson Disease	22045320	2	6	5	10
parkinson	parkinson Disease	22045320	2	6	5	20
parkinson disease	parkinson Disease	22045320	3	14	1	8
parkinson disease	parkinson Disease	22045320	3	14	1	10
parkinson	parkinson Disease	22045320	3	14	1	20
parkinson disease	parkinson Disease	22057400	2	11	10	8
parkinson disease	parkinson Disease	22057400	2	11	10	10
parkinson	parkinson Disease	22057400	2	11	10	20
parkinson's	parkinson Disease	22057087	3	22	10	11
parkinson	parkinson Disease	22057087	5	25	21	20
parkinson's	parkinson Disease	22056989	2	15	14	11
parkinson's disease	parkinson Disease	22056989	2	15	14	12
parkinson's disease	parkinson Disease	22056989	2	15	14	15
parkinson's	parkinson Disease	22056989	6	24	12	11
parkinson's	parkinson Disease	22056989	12	15	9	11
parkinson's disease	parkinson Disease	22056989	12	15	9	12
parkinson's disease	parkinson Disease	22056989	12	15	9	15
parkinson's	parkinson Disease	22056989	15	26	25	11
parkinson's disease	parkinson Disease	22056989	15	26	25	12
parkinson's disease	parkinson Disease	22056989	15	26	25	15
parkinson's	parkinson Disease	22053701	2	13	12	11
parkinson's disease	parkinson Disease	22053701	2	13	12	12
parkinson's disease	parkinson Disease	22053701	2	13	12	15
parkinson's	parkinson Disease	22053701	4	25	14	11
parkinson's disease	parkinson Disease	22053701	4	25	14	12
parkinson's disease	parkinson Disease	22053701	4	25	14	15
parkinson disease	parkinson Disease	22052348	3	20	16	8
parkinson disease	parkinson Disease	22052348	3	20	16	10
parkinson	parkinson Disease	22052348	3	20	16	20
parkinson	parkinson Disease	22049202	2	9	1	20
parkinson	parkinson Disease	22049200	2	7	3	20
parkinson disease	parkinson Disease	22049200	3	24	12	8
parkinson disease	parkinson Disease	22049200	3	24	12	10
parkinson	parkinson Disease	22049200	3	24	12	20
idiopathic parkinson disease	parkinson Disease	22048791	3	40	19	0
parkinson disease	parkinson Disease	22048791	3	40	20	8
parkinson disease	parkinson Disease	22048791	3	40	20	10
parkinson	parkinson Disease	22048791	3	40	20	20
parkinson's	parkinson Disease	22046592	2	6	5	11
parkinson's disease	parkinson Disease	22046592	2	6	5	12
parkinson's disease	parkinson Disease	22046592	2	6	5	15
parkinson's	parkinson Disease	22046592	3	36	2	11
parkinson's disease	parkinson Disease	22046592	3	36	2	12
parkinson's disease	parkinson Disease	22046592	3	36	2	15
parkinson's	parkinson Disease	22046592	4	33	11	11
parkinson's disease	parkinson Disease	22046592	4	33	11	12
parkinson's disease	parkinson Disease	22046592	4	33	11	15
parkinson's	parkinson Disease	22046592	5	65	52	11
parkinson's disease	parkinson Disease	22046592	5	65	52	12
parkinson's disease	parkinson Disease	22046592	5	65	52	15
parkinson's	parkinson Disease	22046592	6	19	12	11
parkinson's disease	parkinson Disease	22046592	6	19	12	12
parkinson's disease	parkinson Disease	22046592	6	19	12	15
parkinson disease	parkinson Disease	22045282	3	29	16	8
parkinson disease	parkinson Disease	22045282	3	29	16	10
parkinson	parkinson Disease	22045282	3	29	16	20
parkinson disease	parkinson Disease	22045168	2	10	9	8
parkinson disease	parkinson Disease	22045168	2	10	9	10
parkinson	parkinson Disease	22045168	2	10	9	20
parkinson disease	parkinson Disease	22045168	3	13	9	8
parkinson disease	parkinson Disease	22045168	3	13	9	10
parkinson	parkinson Disease	22045168	3	13	9	20
parkinson disease	parkinson Disease	22045168	7	14	9	8
parkinson disease	parkinson Disease	22045168	7	14	9	10
parkinson	parkinson Disease	22045168	7	14	9	20
parkinson disease	parkinson Disease	22045168	11	18	7	8
parkinson disease	parkinson Disease	22045168	11	18	7	10
parkinson	parkinson Disease	22045168	11	18	7	20
parkinson disease	parkinson Disease	22043288	2	8	7	8
parkinson disease	parkinson Disease	22043288	2	8	7	10
parkinson	parkinson Disease	22043288	2	8	7	20
parkinson's	parkinson Disease	22043288	3	17	15	11
parkinson's disease	parkinson Disease	22043288	3	17	15	12
parkinson's disease	parkinson Disease	22043288	3	17	15	15
parkinson's	parkinson Disease	22043175	3	13	11	11
parkinson's disease	parkinson Disease	22043175	3	13	11	12
parkinson's disease	parkinson Disease	22043175	3	13	11	15
parkinson's	parkinson Disease	22042176	3	29	19	11
parkinson's disease	parkinson Disease	22042176	3	29	19	12
parkinson's disease	parkinson Disease	22042176	3	29	19	15
parkinson's	parkinson Disease	22042172	2	7	3	11
parkinson's	parkinson Disease	22042172	3	27	9	11
parkinson's disease	parkinson Disease	22042172	3	27	9	12
parkinson's disease	parkinson Disease	22042172	3	27	9	15
parkinson's	parkinson Disease	22042171	2	15	4	11
parkinson's	parkinson Disease	22041733	2	6	1	11
parkinson's	parkinson Disease	22041733	3	14	5	11
parkinson's disease	parkinson Disease	22041733	3	14	5	12
parkinson's disease	parkinson Disease	22041733	3	14	5	15
parkinson's	parkinson Disease	22041733	6	20	18	11
parkinson's	parkinson Disease	22040900	2	8	7	11
parkinson's disease	parkinson Disease	22040900	2	8	7	12
parkinson's disease	parkinson Disease	22040900	2	8	7	15
parkinson disease	parkinson Disease	22040900	3	35	18	8
parkinson disease	parkinson Disease	22040900	3	35	18	10
parkinson	parkinson Disease	22040900	3	35	18	20
parkinson's	parkinson Disease	22021174	2	16	15	11
parkinson's disease	parkinson Disease	22021174	2	16	15	12
parkinson's disease	parkinson Disease	22021174	2	16	15	15
parkinson's	parkinson Disease	22021174	3	45	16	11
parkinson's disease	parkinson Disease	22021174	3	45	16	12
parkinson's disease	parkinson Disease	22021174	3	45	16	15
parkinson's	parkinson Disease	22021173	2	16	15	11
parkinson's disease	parkinson Disease	22021173	2	16	15	12
parkinson's disease	parkinson Disease	22021173	2	16	15	15
parkinson's	parkinson Disease	22021173	3	22	16	11
parkinson's disease	parkinson Disease	22021173	3	22	16	12
parkinson's disease	parkinson Disease	22021173	3	22	16	15
parkinson's	parkinson Disease	22021173	4	30	18	11
parkinson's disease	parkinson Disease	22021173	4	30	18	12
parkinson's disease	parkinson Disease	22021173	4	30	18	15
parkinson	parkinson Disease	22037902	3	33	25	20
parkinson disease	parkinson Disease	22037599	3	35	28	8
parkinson disease	parkinson Disease	22037599	3	35	28	10
parkinson	parkinson Disease	22037599	3	35	28	20
parkinson's	parkinson Disease	22036119	2	10	5	11
parkinson's	parkinson Disease	22034770	2	5	4	11
parkinson's	parkinson Disease	22034770	3	10	1	11
parkinson's disease	parkinson Disease	22034770	3	10	1	12
parkinson's disease	parkinson Disease	22034770	3	10	1	15
parkinson's	parkinson Disease	22034770	4	29	1	11
parkinson's disease	parkinson Disease	22034770	4	29	1	12
parkinson's disease	parkinson Disease	22034770	4	29	1	15
parkinson's	parkinson Disease	22034770	10	66	11	11
parkinson's disease	parkinson Disease	22034770	10	66	11	12
parkinson's disease	parkinson Disease	22034770	10	66	11	15
parkinson's	parkinson Disease	22032468	2	5	1	11
parkinson's disease	parkinson Disease	22032468	2	5	1	12
parkinson's disease	parkinson Disease	22032468	2	5	1	15
parkinson's	parkinson Disease	22032468	3	15	1	11
parkinson's disease	parkinson Disease	22032468	3	15	1	12
parkinson's disease	parkinson Disease	22032468	3	15	1	15
parkinson's	parkinson Disease	22032468	4	27	19	11
parkinson's disease	parkinson Disease	22032468	4	27	19	12
parkinson's disease	parkinson Disease	22032468	4	27	19	15
parkinson's	parkinson Disease	22032181	6	30	13	11
parkinson	parkinson Disease	22031685	2	9	4	20
parkinson disease	parkinson Disease	22031685	3	9	1	8
parkinson disease	parkinson Disease	22031685	3	9	1	10
parkinson	parkinson Disease	22031685	3	9	1	20
parkinson's	parkinson Disease	22030944	2	15	14	11
parkinson's disease	parkinson Disease	22030944	2	15	14	12
parkinson's disease	parkinson Disease	22030944	2	15	14	15
parkinson's	parkinson Disease	22030944	3	25	23	11
parkinson's disease	parkinson Disease	22030944	3	25	23	12
parkinson's disease	parkinson Disease	22030944	3	25	23	15
parkinson disease	parkinson Disease	22028228	2	7	6	8
parkinson disease	parkinson Disease	22028228	2	7	6	10
parkinson	parkinson Disease	22028228	2	7	6	20
parkinson disease	parkinson Disease	22027928	2	11	10	8
parkinson disease	parkinson Disease	22027928	2	11	10	10
parkinson	parkinson Disease	22027928	2	11	10	20
parkinson disease	parkinson Disease	22027928	3	13	11	8
parkinson disease	parkinson Disease	22027928	3	13	11	10
parkinson	parkinson Disease	22027928	3	13	11	20
parkinson	parkinson Disease	22027794	2	17	8	20
parkinson disease	parkinson Disease	22027794	3	24	11	8
parkinson disease	parkinson Disease	22027794	3	24	11	10
parkinson	parkinson Disease	22027794	3	24	11	20
parkinson's	parkinson Disease	22027794	4	17	10	11
parkinson's disease	parkinson Disease	22027794	4	17	10	12
parkinson's disease	parkinson Disease	22027794	4	17	10	15
parkinson	parkinson Disease	22027794	10	36	4	20
parkinson's	parkinson Disease	22026326	2	13	12	11
parkinson's disease	parkinson Disease	22026326	2	13	12	12
parkinson's disease	parkinson Disease	22026326	2	13	12	15
parkinson's	parkinson Disease	22026326	3	30	14	11
parkinson's disease	parkinson Disease	22026326	3	30	14	12
parkinson's disease	parkinson Disease	22026326	3	30	14	15
parkinson's	parkinson Disease	22025277	3	22	5	11
parkinson's disease	parkinson Disease	22025277	3	22	5	12
parkinson's disease	parkinson Disease	22025277	3	22	5	15
parkinson's	parkinson Disease	22025277	5	10	1	11
parkinson's disease	parkinson Disease	22025277	5	10	1	12
parkinson's disease	parkinson Disease	22025277	5	10	1	15
parkinson's	parkinson Disease	22025277	8	32	28	11
parkinson's disease	parkinson Disease	22025277	8	32	28	12
parkinson's disease	parkinson Disease	22025277	8	32	28	15
parkinson disease	parkinson Disease	22023479	3	28	19	8
parkinson disease	parkinson Disease	22023479	3	28	19	10
parkinson	parkinson Disease	22023479	3	28	19	20
parkinson	parkinson Disease	22022363	4	53	24	20
parkinson	parkinson Disease	22022275	13	10	8	20
parkinson's	parkinson Disease	22022189	3	18	17	11
parkinson's disease	parkinson Disease	22022189	3	18	17	12
parkinson's disease	parkinson Disease	22022189	3	18	17	15
parkinson's	parkinson Disease	22022189	7	32	2	11
parkinson's disease	parkinson Disease	22022189	7	32	2	12
parkinson's disease	parkinson Disease	22022189	7	32	2	15
parkinson disease	parkinson Disease	22020457	2	22	21	8
parkinson disease	parkinson Disease	22020457	2	22	21	10
parkinson	parkinson Disease	22020457	2	22	21	20
parkinson disease	parkinson Disease	22020457	4	17	4	8
parkinson disease	parkinson Disease	22020457	4	17	4	10
parkinson	parkinson Disease	22020457	4	17	4	20
parkinson's	parkinson Disease	22020207	2	8	1	11
parkinson's disease	parkinson Disease	22020207	2	8	1	12
parkinson's disease	parkinson Disease	22020207	2	8	1	15
parkinson's	parkinson Disease	22020207	3	13	1	11
parkinson's disease	parkinson Disease	22020207	3	13	1	12
parkinson's disease	parkinson Disease	22020207	3	13	1	15
parkinson disease	parkinson Disease	22019972	2	14	13	8
parkinson disease	parkinson Disease	22019972	2	14	13	10
parkinson	parkinson Disease	22019972	2	14	13	20
parkinson disease	parkinson Disease	22019972	3	23	22	8
parkinson disease	parkinson Disease	22019972	3	23	22	10
parkinson	parkinson Disease	22019972	3	23	22	20
parkinson disease	parkinson Disease	22019972	5	10	5	8
parkinson disease	parkinson Disease	22019972	5	10	5	10
parkinson	parkinson Disease	22019972	5	10	5	20
parkinson	parkinson Disease	22019972	9	31	23	20
parkinson's	parkinson Disease	22019648	2	15	14	11
parkinson's disease	parkinson Disease	22019648	2	15	14	12
parkinson's disease	parkinson Disease	22019648	2	15	14	15
parkinson's	parkinson Disease	22019648	3	29	28	11
parkinson's disease	parkinson Disease	22019648	3	29	28	12
parkinson's disease	parkinson Disease	22019648	3	29	28	15
parkinson's	parkinson Disease	22019648	6	31	9	11
parkinson's disease	parkinson Disease	22019648	6	31	9	12
parkinson's disease	parkinson Disease	22019648	6	31	9	15
parkinson's	parkinson Disease	22019646	2	15	14	11
parkinson's disease	parkinson Disease	22019646	2	15	14	12
parkinson's disease	parkinson Disease	22019646	2	15	14	15
parkinson's	parkinson Disease	22019646	3	23	1	11
parkinson's disease	parkinson Disease	22019646	3	23	1	12
parkinson's disease	parkinson Disease	22019646	3	23	1	15
parkinson's	parkinson Disease	22019646	6	34	5	11
parkinson's disease	parkinson Disease	22019646	6	34	5	12
parkinson's disease	parkinson Disease	22019646	6	34	5	15
parkinson disease	parkinson Disease	22018708	2	8	6	8
parkinson disease	parkinson Disease	22018708	2	8	6	10
parkinson	parkinson Disease	22018708	2	8	6	20
parkinson	parkinson Disease	22018708	8	21	13	20
parkinson	parkinson Disease	22018708	13	20	16	20
parkinson's	parkinson Disease	22017994	3	17	14	11
parkinson's disease	parkinson Disease	22017994	3	17	14	12
parkinson's disease	parkinson Disease	22017994	3	17	14	15
parkinson's	parkinson Disease	22017983	3	17	12	11
parkinson's	parkinson Disease	22017983	5	20	19	11
parkinson's disease	parkinson Disease	22017983	5	20	19	12
parkinson's disease	parkinson Disease	22017983	5	20	19	15
parkinson's	parkinson Disease	22017152	2	8	8	11
parkinson's	parkinson Disease	22016808	2	15	14	11
parkinson's disease	parkinson Disease	22016808	2	15	14	12
parkinson's disease	parkinson Disease	22016808	2	15	14	15
parkinson's	parkinson Disease	22016808	3	27	1	11
parkinson's disease	parkinson Disease	22016808	3	27	1	12
parkinson's disease	parkinson Disease	22016808	3	27	1	15
parkinson's	parkinson Disease	22014436	3	20	14	11
parkinson's disease	parkinson Disease	22014436	3	20	14	12
parkinson's disease	parkinson Disease	22014436	3	20	14	15
parkinson's	parkinson Disease	22014436	8	32	12	11
parkinson's	parkinson Disease	22014434	2	6	5	11
parkinson's disease	parkinson Disease	22014434	2	6	5	12
parkinson's disease	parkinson Disease	22014434	2	6	5	15
parkinson's	parkinson Disease	22014434	3	17	16	11
parkinson's disease	parkinson Disease	22014434	3	17	16	12
parkinson's disease	parkinson Disease	22014434	3	17	16	15
parkinson's	parkinson Disease	22014434	6	22	8	11
parkinson's disease	parkinson Disease	22014434	6	22	8	12
parkinson's disease	parkinson Disease	22014434	6	22	8	15
parkinson's	parkinson Disease	22014118	11	21	15	11
parkinson's disease	parkinson Disease	22014118	11	21	15	12
parkinson's disease	parkinson Disease	22014118	11	21	15	15
parkinson's	parkinson Disease	22013567	2	11	10	11
parkinson's disease	parkinson Disease	22013567	2	11	10	12
parkinson's disease	parkinson Disease	22013567	2	11	10	15
parkinson's	parkinson Disease	22013567	5	14	12	11
parkinson's disease	parkinson Disease	22013567	5	14	12	12
parkinson's disease	parkinson Disease	22013567	5	14	12	15
parkinson's	parkinson Disease	22013566	2	6	3	11
parkinson's	parkinson Disease	22013566	3	14	12	11
parkinson's disease	parkinson Disease	22013566	3	14	12	12
parkinson's disease	parkinson Disease	22013566	3	14	12	15
parkinson's	parkinson Disease	22013566	5	15	13	11
parkinson's disease	parkinson Disease	22013566	5	15	13	12
parkinson's disease	parkinson Disease	22013566	5	15	13	15
parkinson's	parkinson Disease	22013566	10	20	16	11
parkinson's disease	parkinson Disease	22013566	10	20	16	12
parkinson's disease	parkinson Disease	22013566	10	20	16	15
parkinson's	parkinson Disease	22013566	11	19	17	11
parkinson's disease	parkinson Disease	22013566	11	19	17	12
parkinson's disease	parkinson Disease	22013566	11	19	17	15
parkinson's	parkinson Disease	22013420	2	21	20	11
parkinson's disease	parkinson Disease	22013420	2	21	20	12
parkinson's disease	parkinson Disease	22013420	2	21	20	15
parkinson's	parkinson Disease	22013420	3	25	3	11
parkinson's disease	parkinson Disease	22013420	3	25	3	12
parkinson's disease	parkinson Disease	22013420	3	25	3	15
parkinson disease	parkinson Disease	22013420	8	35	9	8
parkinson disease	parkinson Disease	22013420	8	35	9	10
parkinson	parkinson Disease	22013420	8	35	9	20
parkinson's	parkinson Disease	22013209	2	12	11	11
parkinson's disease	parkinson Disease	22013209	2	12	11	12
parkinson's disease	parkinson Disease	22013209	2	12	11	15
parkinson's	parkinson Disease	22013209	3	11	1	11
parkinson's disease	parkinson Disease	22013209	3	11	1	12
parkinson's disease	parkinson Disease	22013209	3	11	1	15
parkinson disease	parkinson Disease	22011618	5	29	28	8
parkinson disease	parkinson Disease	22011618	5	29	28	10
parkinson	parkinson Disease	22011618	5	29	28	20
parkinson's	parkinson Disease	22009151	3	35	1	11
parkinson's disease	parkinson Disease	22009151	3	35	1	12
parkinson's disease	parkinson Disease	22009151	3	35	1	15
parkinson	parkinson Disease	22008259	5	31	19	20
parkinson	parkinson Disease	22006323	3	31	8	20
parkinson disease	parkinson Disease	22005945	2	6	2	8
parkinson disease	parkinson Disease	22005945	2	6	2	10
parkinson	parkinson Disease	22005945	2	6	2	20
parkinson	parkinson Disease	22005945	3	13	13	20
parkinson's	parkinson Disease	22004453	2	17	11	11
parkinson's disease	parkinson Disease	22004453	2	17	11	12
parkinson's disease	parkinson Disease	22004453	2	17	11	15
parkinson's	parkinson Disease	22004453	3	16	15	11
parkinson's disease	parkinson Disease	22004453	3	16	15	12
parkinson's disease	parkinson Disease	22004453	3	16	15	15
parkinson's	parkinson Disease	22004453	8	21	14	11
parkinson's disease	parkinson Disease	22004453	8	21	14	12
parkinson's disease	parkinson Disease	22004453	8	21	14	15
parkinson's	parkinson Disease	22003392	2	12	11	11
parkinson's disease	parkinson Disease	22003392	2	12	11	12
parkinson's disease	parkinson Disease	22003392	2	12	11	15
parkinson's	parkinson Disease	22003392	3	18	16	11
parkinson's disease	parkinson Disease	22003392	3	18	16	12
parkinson's disease	parkinson Disease	22003392	3	18	16	15
parkinson disease	parkinson Disease	22003171	2	10	9	8
parkinson disease	parkinson Disease	22003171	2	10	9	10
parkinson	parkinson Disease	22003171	2	10	9	20
parkinson disease	parkinson Disease	22003171	3	17	11	8
parkinson disease	parkinson Disease	22003171	3	17	11	10
parkinson	parkinson Disease	22003171	3	17	11	20
parkinson	parkinson Disease	22001711	4	33	13	20
parkinson's	parkinson Disease	22001456	2	16	10	11
parkinson's	parkinson Disease	22001456	3	13	3	11
parkinson's disease	parkinson Disease	22001456	3	13	3	12
parkinson's disease	parkinson Disease	22001456	3	13	3	15
parkinson disease	parkinson Disease	22001363	3	22	19	8
parkinson disease	parkinson Disease	22001363	3	22	19	10
parkinson	parkinson Disease	22001363	3	22	19	20
parkinson's	parkinson Disease	22000081	2	13	5	11
parkinson's	parkinson Disease	22000081	3	30	18	11
parkinson's disease	parkinson Disease	22000081	3	30	18	12
parkinson's disease	parkinson Disease	22000081	3	30	18	15
parkinson disease	parkinson Disease	21999316	2	16	10	8
parkinson disease	parkinson Disease	21999316	2	16	10	10
parkinson	parkinson Disease	21999316	2	16	10	20
parkinson	parkinson Disease	21999316	4	23	14	20
parkinson's	parkinson Disease	21999316	7	12	2	11
parkinson's disease	parkinson Disease	21999316	7	12	2	12
parkinson's disease	parkinson Disease	21999316	7	12	2	15
parkinson's	parkinson Disease	21999316	17	29	2	11
parkinson's disease	parkinson Disease	21999316	17	29	2	12
parkinson's disease	parkinson Disease	21999316	17	29	2	15
parkinson disease	parkinson Disease	21999316	22	29	17	8
parkinson disease	parkinson Disease	21999316	22	29	17	10
parkinson	parkinson Disease	21999316	22	29	17	20
parkinson disease	parkinson Disease	21998100	2	11	8	8
parkinson disease	parkinson Disease	21998100	2	11	8	10
parkinson	parkinson Disease	21998100	2	11	8	20
parkinson's	parkinson Disease	21998100	10	26	22	11
parkinson's disease	parkinson Disease	21998100	10	26	22	12
parkinson's disease	parkinson Disease	21998100	10	26	22	15
parkinson's	parkinson Disease	21995451	2	13	7	11
parkinson's disease	parkinson Disease	21995451	2	13	7	12
parkinson's disease	parkinson Disease	21995451	2	13	7	15
idiopathic parkinson disease	parkinson Disease	21995451	3	15	7	0
parkinson disease	parkinson Disease	21995451	3	15	8	8
parkinson disease	parkinson Disease	21995451	3	15	8	10
parkinson	parkinson Disease	21995451	3	15	8	20
parkinson disease	parkinson Disease	21994362	4	16	6	8
parkinson disease	parkinson Disease	21994362	4	16	6	10
parkinson	parkinson Disease	21994362	4	16	6	20
parkinson	parkinson Disease	21994149	2	12	6	20
parkinson's	parkinson Disease	21994149	3	18	1	11
parkinson's disease	parkinson Disease	21994149	3	18	1	12
parkinson's disease	parkinson Disease	21994149	3	18	1	15
parkinson's	parkinson Disease	21993592	5	37	34	11
parkinson's	parkinson Disease	21993592	6	30	14	11
parkinson's	parkinson Disease	21992241	2	12	11	11
parkinson's disease	parkinson Disease	21992241	2	12	11	12
parkinson's disease	parkinson Disease	21992241	2	12	11	15
parkinson's	parkinson Disease	21992241	3	26	6	11
parkinson's disease	parkinson Disease	21992241	3	26	6	12
parkinson's disease	parkinson Disease	21992241	3	26	6	15
parkinson	parkinson Disease	21989633	2	15	10	20
parkinson disease	parkinson Disease	21989633	3	40	12	8
parkinson disease	parkinson Disease	21989633	3	40	12	10
parkinson	parkinson Disease	21989633	3	40	12	20
parkinson's	parkinson Disease	21989388	2	19	11	11
idiopathic parkinson's disease	parkinson Disease	21989388	3	29	6	1
idiopathic parkinson's disease	parkinson Disease	21989388	3	29	6	2
parkinson's	parkinson Disease	21989388	3	29	7	11
parkinson's disease	parkinson Disease	21989388	3	29	7	12
parkinson's disease	parkinson Disease	21989388	3	29	7	15
idiopathic parkinson's disease	parkinson Disease	21989388	9	32	5	1
idiopathic parkinson's disease	parkinson Disease	21989388	9	32	5	2
parkinson's	parkinson Disease	21989388	9	32	6	11
parkinson's disease	parkinson Disease	21989388	9	32	6	12
parkinson's disease	parkinson Disease	21989388	9	32	6	15
parkinson's	parkinson Disease	21983019	2	11	10	11
parkinson's disease	parkinson Disease	21983019	2	11	10	12
parkinson's disease	parkinson Disease	21983019	2	11	10	15
parkinson's	parkinson Disease	21983019	3	10	9	11
parkinson's disease	parkinson Disease	21983019	3	10	9	12
parkinson's disease	parkinson Disease	21983019	3	10	9	15
parkinson's	parkinson Disease	21983019	5	24	22	11
parkinson's disease	parkinson Disease	21983019	5	24	22	12
parkinson's disease	parkinson Disease	21983019	5	24	22	15
parkinson's	parkinson Disease	21983019	6	26	7	11
parkinson's disease	parkinson Disease	21983019	6	26	7	12
parkinson's disease	parkinson Disease	21983019	6	26	7	15
parkinson	parkinson Disease	21983019	6	26	12	20
parkinson's	parkinson Disease	21983019	7	34	26	11
parkinson's	parkinson Disease	21983019	11	27	26	11
parkinson's disease	parkinson Disease	21983019	11	27	26	12
parkinson's disease	parkinson Disease	21983019	11	27	26	15
parkinson's	parkinson Disease	21983019	12	17	5	11
parkinson's disease	parkinson Disease	21983019	12	17	5	12
parkinson's disease	parkinson Disease	21983019	12	17	5	15
parkinson's	parkinson Disease	21983019	13	15	14	11
parkinson's disease	parkinson Disease	21983019	13	15	14	12
parkinson's disease	parkinson Disease	21983019	13	15	14	15
parkinson's	parkinson Disease	21982566	2	13	9	11
parkinson's disease	parkinson Disease	21982566	2	13	9	12
parkinson's disease	parkinson Disease	21982566	2	13	9	15
parkinson's	parkinson Disease	21982566	3	47	15	11
parkinson's disease	parkinson Disease	21982566	3	47	15	12
parkinson's disease	parkinson Disease	21982566	3	47	15	15
parkinson's	parkinson Disease	21982566	8	50	18	11
parkinson's disease	parkinson Disease	21982566	8	50	18	12
parkinson's disease	parkinson Disease	21982566	8	50	18	15
parkinson disease	parkinson Disease	21981780	7	18	14	8
parkinson disease	parkinson Disease	21981780	7	18	14	10
parkinson	parkinson Disease	21981780	7	18	14	20
parkinson's	parkinson Disease	21981324	2	8	7	11
parkinson's disease	parkinson Disease	21981324	2	8	7	12
parkinson's disease	parkinson Disease	21981324	2	8	7	15
parkinson's	parkinson Disease	21981324	3	20	15	11
parkinson's disease	parkinson Disease	21981324	3	20	15	12
parkinson's disease	parkinson Disease	21981324	3	20	15	15
parkinson's	parkinson Disease	21980177	2	4	3	11
parkinson's disease	parkinson Disease	21980177	2	4	3	12
parkinson's disease	parkinson Disease	21980177	2	4	3	15
parkinson's	parkinson Disease	21978795	3	43	27	11
parkinson's disease	parkinson Disease	21978795	3	43	27	12
parkinson's disease	parkinson Disease	21978795	3	43	27	15
parkinson	parkinson Disease	21978795	7	24	17	20
parkinson	parkinson Disease	21977026	2	12	3	20
parkinson's	parkinson Disease	21977026	4	34	14	11
parkinson's disease	parkinson Disease	21977026	4	34	14	12
parkinson's disease	parkinson Disease	21977026	4	34	14	15
idiopathic parkinson's disease	parkinson Disease	21977026	6	26	7	1
idiopathic parkinson's disease	parkinson Disease	21977026	6	26	7	2
parkinson's	parkinson Disease	21977026	6	26	8	11
parkinson's disease	parkinson Disease	21977026	6	26	8	12
parkinson's disease	parkinson Disease	21977026	6	26	8	15
parkinson	parkinson Disease	21977026	10	19	7	20
parkinson's	parkinson Disease	21977026	12	17	16	11
parkinson's disease	parkinson Disease	21977026	12	17	16	12
parkinson's disease	parkinson Disease	21977026	12	17	16	15
parkinson disease	parkinson Disease	21975386	3	37	25	8
parkinson disease	parkinson Disease	21975386	3	37	25	10
parkinson	parkinson Disease	21975386	3	37	25	20
parkinson's	parkinson Disease	21971352	2	17	9	11
parkinson's disease	parkinson Disease	21971352	2	17	9	12
parkinson's disease	parkinson Disease	21971352	2	17	9	15
parkinson's	parkinson Disease	21971352	3	28	19	11
parkinson's disease	parkinson Disease	21971352	3	28	19	12
parkinson's disease	parkinson Disease	21971352	3	28	19	15
parkinson's	parkinson Disease	21970092	2	15	3	11
